permission,resource,action,superuser,admin,manager,editor,viewer
"user.view",user,view,allow,allow,allow,deny,deny
"user.create",user,create,allow,allow,allow,deny,deny
"user.edit",user,edit,allow,allow,allow,deny,deny
"user.delete",user,delete,allow,allow,deny,deny,deny
"user.invite",user,invite,allow,allow,allow,deny,deny
"user.role.assign",user,role,allow,allow,allow,deny,deny
"user.status.update",user,status,allow,allow,allow,deny,deny
"document.view",document,view,allow,allow,allow,allow,allow
"document.create",document,create,allow,allow,allow,allow,deny
"document.edit",document,edit,allow,allow,allow,allow,deny
"document.delete",document,delete,allow,allow,allow,allow,deny
"document.export",document,export,allow,allow,allow,deny,deny
"document.download",document,download,allow,allow,allow,allow,deny
"tenant.view",tenant,view,allow,allow,deny,deny,deny
"tenant.create",tenant,create,allow,deny,deny,deny,deny
"tenant.edit",tenant,edit,allow,deny,deny,deny,deny
"tenant.delete",tenant,delete,allow,deny,deny,deny,deny
"department.view",department,view,allow,allow,allow,deny,deny
"department.create",department,create,allow,allow,deny,deny,deny
"department.edit",department,edit,allow,allow,deny,deny,deny
"department.delete",department,delete,allow,deny,deny,deny,deny
"workspace.view",workspace,view,allow,deny,deny,deny,deny
"workspace.switch",workspace,switch,allow,deny,deny,deny,deny
"export.csv",export,csv,allow,allow,allow,deny,deny
"export.document",export,document,allow,allow,allow,deny,deny
"admin.access",admin,access,allow,allow,allow,deny,deny
"admin.user.manage",admin,user,allow,allow,allow,deny,deny
"admin.role.manage",admin,role,allow,deny,deny,deny,deny
"admin.tenant.manage",admin,tenant,allow,deny,deny,deny,deny
"admin.department.manage",admin,department,allow,allow,deny,deny,deny
"admin.configuration.manage",admin,configuration,allow,deny,deny,deny,deny
"audit.view",audit,view,allow,allow,deny,deny,deny

role,level,scope,permission_count
superuser,1,"Global",32
admin,2,"Tenant",23
manager,3,"Tenant + Department",17
editor,4,"Tenant + Department",5
viewer,5,"Tenant + Department",1
